pir_reading_id,device_id,motion,flag,measured_at,received_at,raw_payload
26434,3,False,ok,2026-09-03T14:12:01.337569+00:00,2026-09-03T14:12:01.429760+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26435,3,False,ok,2026-09-03T14:12:02.350663+00:00,2026-09-03T14:12:02.444627+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26436,3,False,ok,2026-09-03T14:12:03.362735+00:00,2026-09-03T14:12:03.568248+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26437,3,False,ok,2026-09-03T14:12:04.892582+00:00,2026-09-03T14:12:05.009948+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26438,3,False,ok,2026-09-03T14:12:05.385701+00:00,2026-09-03T14:12:05.564653+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26439,3,False,ok,2026-09-03T14:12:06.397671+00:00,2026-09-03T14:12:06.529356+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26440,3,False,ok,2026-09-03T14:12:07.410953+00:00,2026-09-03T14:12:07.500130+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26441,3,False,ok,2026-09-03T14:12:08.421676+00:00,2026-09-03T14:12:08.614615+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26442,3,False,ok,2026-09-03T14:12:09.912585+00:00,2026-09-03T14:12:10.104718+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26443,3,False,ok,2026-09-03T14:12:10.446139+00:00,2026-09-03T14:12:10.619677+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26444,3,False,ok,2026-09-03T14:12:11.459182+00:00,2026-09-03T14:12:11.554702+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26445,3,False,ok,2026-09-03T14:12:12.469703+00:00,2026-09-03T14:12:12.565162+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26446,3,True,ok,2026-09-03T14:12:13.481804+00:00,2026-09-03T14:12:13.684675+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26447,3,False,ok,2026-09-03T14:12:14.957600+00:00,2026-09-03T14:12:15.129999+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26448,3,False,ok,2026-09-03T14:12:15.509573+00:00,2026-09-03T14:12:15.664778+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26449,3,False,ok,2026-09-03T14:12:16.517864+00:00,2026-09-03T14:12:16.605192+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26450,3,True,ok,2026-09-03T14:12:17.532832+00:00,2026-09-03T14:12:17.635493+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26451,3,False,ok,2026-09-03T14:12:18.541645+00:00,2026-09-03T14:12:18.745093+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26452,3,False,ok,2026-09-03T14:12:19.979175+00:00,2026-09-03T14:12:20.129761+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26453,3,True,ok,2026-09-03T14:12:20.566959+00:00,2026-09-03T14:12:20.669790+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26454,3,False,ok,2026-09-03T14:12:21.577802+00:00,2026-09-03T14:12:21.695107+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26455,3,False,ok,2026-09-03T14:12:22.590255+00:00,2026-09-03T14:12:22.736181+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26456,3,False,ok,2026-09-03T14:12:23.601755+00:00,2026-09-03T14:12:23.805204+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26457,3,True,ok,2026-09-03T14:12:25.082881+00:00,2026-09-03T14:12:25.229812+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26458,3,False,ok,2026-09-03T14:12:25.626959+00:00,2026-09-03T14:12:25.740125+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
