run_id,measured_at,temperature,humidity,co2,pir_motion,door_open_fraction,heater_commanded_duty,heater_physical_u,heater_state_verified,cooling_u,actuation_verified,dt_seconds,dT_dt,phase,quality_scope,training_eligible
1,2026-09-03T14:12:00.922886+00:00,24.39667,71.015,807.5,True,0.0,0,0,True,0,True,,,baseline,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:12:30.922886+00:00,24.38833,71.155,807.33333,True,0.0,0,0,True,0,True,30.0,-0.01668,baseline,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:13:00.922886+00:00,24.38,71.28333,805.33333,True,0.0,0,0,True,0,True,30.0,-0.01666,baseline,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:13:30.922886+00:00,24.37833,71.41,805.0,True,0.0,0,0,True,0,True,30.0,-0.00334,baseline,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:14:00.922886+00:00,24.365,71.52667,801.83333,True,0.0,0,0,True,0,True,30.0,-0.02666,baseline,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:14:30.922886+00:00,24.35833,71.66,802.83333,True,0.0,0,0,True,0,True,30.0,-0.01334,baseline,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:15:00.922886+00:00,24.35333,71.71333,804.5,True,0.0,100,0,True,0,True,30.0,-0.01,baseline,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:15:30.922886+00:00,24.35167,71.84,801.16667,True,0.0,100,0,True,0,True,30.0,-0.00332,baseline,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:16:00.922886+00:00,24.354,71.97,799.4,True,0.0,100,0,True,0,True,30.0,0.00466,baseline,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:16:30.922886+00:00,24.34833,72.08167,798.16667,True,0.0,100,0,True,0,True,30.0,-0.01134,baseline,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:17:00.922886+00:00,24.35167,72.23,802.33333,True,0.0,100,0,True,0,True,30.0,0.00668,baseline,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:17:30.922886+00:00,24.33167,72.365,798.5,True,0.0,100,0,True,0,True,30.0,-0.04,baseline,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:18:00.922886+00:00,24.3375,72.5175,795.75,True,0.0,100,0,True,0,True,30.0,0.01166,baseline,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:18:30.922886+00:00,24.34,72.64,795.16667,True,0.0,100,0,True,0,True,30.0,0.005,baseline,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:19:00.922886+00:00,24.32667,72.74667,788.0,True,0.0,100,0,True,0,True,30.0,-0.02666,baseline,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:19:30.922886+00:00,24.32667,72.84,782.5,True,0.0,100,,False,0,True,30.0,0.0,post_heater_on_state_unverified,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:20:00.922886+00:00,24.33,72.94167,782.5,True,0.0,100,,False,0,True,30.0,0.00666,post_heater_on_state_unverified,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
