reading_id,device_id,temperature,humidity,co2,temp_flag,humidity_flag,co2_flag,measured_at,received_at,raw_payload
16349,1,24.31,73.18,786,ok,ok,ok,2026-09-03T14:21:53.194441+00:00,2026-09-03T14:21:53.334703+00:00,"{""co2_ppm"": 786, ""humidity_rh"": 73.17769, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.30838, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2390988, ""wifi_rssi"": -64}"
16352,1,24.32,73.13,786,ok,ok,ok,2026-09-03T14:21:58.233285+00:00,2026-09-03T14:21:58.400018+00:00,"{""co2_ppm"": 786, ""humidity_rh"": 73.13496, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.31907, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2396028, ""wifi_rssi"": -60}"
16355,1,24.34,73.20,787,ok,ok,ok,2026-09-03T14:22:03.273185+00:00,2026-09-03T14:22:03.494867+00:00,"{""co2_ppm"": 787, ""humidity_rh"": 73.196, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.34043, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2401068, ""wifi_rssi"": -65}"
16358,1,24.31,73.20,788,ok,ok,ok,2026-09-03T14:22:08.316363+00:00,2026-09-03T14:22:08.514494+00:00,"{""co2_ppm"": 788, ""humidity_rh"": 73.19753, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.30571, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2406109, ""wifi_rssi"": -64}"
16361,1,24.32,73.22,788,ok,ok,ok,2026-09-03T14:22:13.356643+00:00,2026-09-03T14:22:13.549395+00:00,"{""co2_ppm"": 788, ""humidity_rh"": 73.21736, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.31907, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2411149, ""wifi_rssi"": -68}"
16364,1,24.33,73.18,788,ok,ok,ok,2026-09-03T14:22:18.396237+00:00,2026-09-03T14:22:18.569756+00:00,"{""co2_ppm"": 788, ""humidity_rh"": 73.18227, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.33242, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2416189, ""wifi_rssi"": -70}"
16367,1,24.30,73.23,787,ok,ok,ok,2026-09-03T14:22:23.438925+00:00,2026-09-03T14:22:23.634740+00:00,"{""co2_ppm"": 787, ""humidity_rh"": 73.22804, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.30037, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2421229, ""wifi_rssi"": -66}"
16370,1,24.32,73.26,786,ok,ok,ok,2026-09-03T14:22:28.479343+00:00,2026-09-03T14:22:28.664598+00:00,"{""co2_ppm"": 786, ""humidity_rh"": 73.26009, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.32174, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2426269, ""wifi_rssi"": -68}"
16373,1,24.30,73.24,787,ok,ok,ok,2026-09-03T14:22:33.479210+00:00,2026-09-03T14:22:33.654538+00:00,"{""co2_ppm"": 787, ""humidity_rh"": 73.23872, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.29503, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2431271, ""wifi_rssi"": -66}"
16376,1,24.32,73.23,788,ok,ok,ok,2026-09-03T14:22:38.520060+00:00,2026-09-03T14:22:38.709537+00:00,"{""co2_ppm"": 788, ""humidity_rh"": 73.23109, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.32441, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2436311, ""wifi_rssi"": -66}"
