door_reading_id,device_id,door_state,flag,measured_at,received_at,raw_payload
26462,3,closed,ok,2026-09-03T14:12:29.987820+00:00,2026-09-03T14:12:30.309672+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26463,3,closed,ok,2026-09-03T14:12:30.686738+00:00,2026-09-03T14:12:30.874658+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26464,3,closed,ok,2026-09-03T14:12:31.704407+00:00,2026-09-03T14:12:31.884614+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26465,3,closed,ok,2026-09-03T14:12:32.713308+00:00,2026-09-03T14:12:33.049640+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26466,3,closed,ok,2026-09-03T14:12:33.724481+00:00,2026-09-03T14:12:34.054505+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26467,3,closed,ok,2026-09-03T14:12:34.979223+00:00,2026-09-03T14:12:35.264591+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26468,3,closed,ok,2026-09-03T14:12:35.746785+00:00,2026-09-03T14:12:35.924535+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26469,3,closed,ok,2026-09-03T14:12:36.757985+00:00,2026-09-03T14:12:36.934689+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26470,3,closed,ok,2026-09-03T14:12:37.770751+00:00,2026-09-03T14:12:38.145135+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26471,3,closed,ok,2026-09-03T14:12:38.781949+00:00,2026-09-03T14:12:39.144536+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26472,3,closed,ok,2026-09-03T14:12:40.183197+00:00,2026-09-03T14:12:40.454642+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26473,3,closed,ok,2026-09-03T14:12:40.806633+00:00,2026-09-03T14:12:41.005063+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
